"city","stateprovincename","country","customerkey","geographykey","maritalstatus","yearlyincome","datefirstpurchase","fullname"
"Bracknell","England","United Kingdom",16574,233,"S","20000.00","2022-03-05","Mr Joe Gomez"
"Milton Keynes","England","United Kingdom",16575,259,"S","170000.00","2021-04-10","Ms Veronica Vance"
"Metz","Moselle","France",16576,184,"S","90000.00","2023-01-06","Mr Corey Beck"
"Paris La Defense","Hauts de Seine","France",16577,217,"S","90000.00","2022-08-02","Ms Leah Chen"
"Darmstadt","Hessen","Germany",16578,127,"S","100000.00","2022-11-05","Ms Stefanie Weber"
"Cheltenham","England","United Kingdom",16579,236,"M","70000.00","2022-07-10","Mr Zachary Davis"
"Metz","Moselle","France",16580,184,"M","100000.00","2021-12-16","Mrs Dawn Chen"
"Pantin","Seine Saint Denis","France",16581,222,"S","100000.00","2022-10-25","Mr Kenneth Becker"
"Berlin","Saarland","Germany",16582,163,"M","100000.00","2022-02-22","Mr Frank Torres"
"Frankfurt","Hessen","Germany",16583,131,"M","100000.00","2023-01-08","Mr Justin Martinez"
"Watford","England","United Kingdom",16584,273,"S","170000.00","2022-02-07","Mr Devin Gray"
"West Sussex","England","United Kingdom",16585,274,"M","170000.00","2021-04-07","Mr Vincent Sun"
"Versailles","Yveline","France",16586,209,"M","100000.00","2022-07-25","Mr Leonard Chander"
"Solingen","Nordrhein-Westfalen","Germany",16587,161,"M","120000.00","2021-07-14","Mr Zachary Martinez"
"London","England","United Kingdom",16588,252,"M","130000.00","2021-04-30","Mr Andre Martinez"
"Maidenhead","England","United Kingdom",16589,258,"M","130000.00","2021-05-28","Mr Martin Suri"
"Oxford","England","United Kingdom",16590,263,"M","150000.00","2022-05-31","Mr Shawn Deng"
"Reading","England","United Kingdom",16591,266,"M","160000.00","2022-06-23","Mr Clarence He"
"Saint Germain en Laye","Yveline","France",16592,208,"M","80000.00","2022-03-14","Mrs Jacquelyn Gomez"
"Birmingham","England","United Kingdom",16593,232,"M","120000.00","2022-02-15","Mrs Suzanne He"
"Peterborough","England","United Kingdom",16594,265,"M","170000.00","2021-05-21","Mr Andrew Jones"
"Runcorn","England","United Kingdom",16595,267,"M","170000.00","2021-05-18","Mr Cameron Anderson"
"Saint Germain en Laye","Yveline","France",16596,208,"S","70000.00","2021-12-09","Ms Gabrielle Carter"
"Salzgitter","Hessen","Germany",16597,135,"S","100000.00","2022-03-02","Ms Kelli Xu"
"Bury","England","United Kingdom",16598,234,"S","130000.00","2021-05-23","Ms Kate Rai"
"London","England","United Kingdom",16599,257,"M","150000.00","2022-06-18","Mr Ramón Cai"
"Sèvres","Hauts de Seine","France",16600,218,"S","90000.00","2022-05-16","Ms Janet Suarez"
"Oxford","England","United Kingdom",16601,262,"S","130000.00","2022-05-12","Ms Tabitha Rana"
"Runcorn","England","United Kingdom",16602,267,"M","150000.00","2022-08-22","Mrs Jill Travers"
"München","Hamburg","Germany",16603,150,"M","110000.00","2021-07-08","Mrs Scott Seely"
"Sulzbach Taunus","Saarland","Germany",16604,178,"M","120000.00","2022-10-25","Mr Roy Serrano"
"Port Macquarie","New South Wales","Australia",16605,13,"M","60000.00","2022-03-11","Mrs Toni Randall"
"Matraville","New South Wales","Australia",16606,8,"S","70000.00","2022-08-07","Mr Ricky Blanco"
"Brisbane","Queensland","Australia",16608,20,"S","70000.00","2022-02-08","Mr Ricky Martin"
"Hobart","Tasmania","Australia",16609,31,"S","70000.00","2022-01-30","Mr Gary Jimenez"
"Coffs Harbour","New South Wales","Australia",16610,2,"M","70000.00","2022-03-12","Mrs Sydney Clark"
"Port Macquarie","New South Wales","Australia",16611,13,"S","80000.00","2022-02-17","Mr Dylan Rodriguez"
"Caloundra","Queensland","Australia",16613,21,"M","70000.00","2022-03-21","Mrs Cassie Sutton"
"Springwood","New South Wales","Australia",16614,16,"M","80000.00","2022-08-26","Mrs Alison Shen"
"Perth","South Australia","Australia",16615,30,"S","80000.00","2022-04-08","Ms Kaitlin Patel"
"Warrnambool","Victoria","Australia",16617,40,"M","100000.00","2022-02-03","Mr Alvin Xie"
"Findon","South Australia","Australia",16618,29,"M","110000.00","2022-08-21","Mrs Cassandra Subram"
"North Ryde","New South Wales","Australia",16619,11,"M","120000.00","2022-03-09","Mrs Whitney Perez"
"Bendigo","Victoria","Australia",16621,32,"M","100000.00","2022-08-31","Mrs Birgit Seidel"
"Newcastle","New South Wales","Australia",16622,10,"S","100000.00","2022-08-13","Mr Byron Navarro"
"Hervey Bay","Queensland","Australia",16625,25,"M","100000.00","2022-04-21","Mr Grant Deng"
"Townsville","Queensland","Australia",16626,27,"S","100000.00","2022-02-28","Mr Nathaniel Morgan"
"Findon","South Australia","Australia",16627,29,"M","80000.00","2022-02-15","Mrs Claudia Chen"
"Lane Cove","New South Wales","Australia",16628,5,"S","80000.00","2022-09-10","Mr Francisco Prasad"
"Darlinghurst","New South Wales","Australia",16632,3,"S","100000.00","2022-07-25","Mr Ruben Romero"
"Seaford","Victoria","Australia",16633,37,"M","100000.00","2022-07-20","Mrs Kelli Becker"
"Bendigo","Victoria","Australia",16634,32,"M","90000.00","2022-09-02","Mrs Jenny Hu"
"Coffs Harbour","New South Wales","Australia",16635,2,"M","100000.00","2022-04-18","Mr Erick Suri"
"Darlinghurst","New South Wales","Australia",16640,3,"M","130000.00","2022-04-18","Mr Colin Lal"
"La Jolla","California","United States",16641,331,"S","70000.00","2022-10-26","Ms Julia Bailey"
"Yakima","Washington","United States",16642,648,"S","130000.00","2022-11-26","Mr Mason Mitchell"
"Port Hammond","British Columbia","Canada",16643,60,"S","170000.00","2022-04-06","Mr Fernando Wilson"
"Burbank","California","United States",16644,301,"M","170000.00","2022-07-27","Mr Leonard Goel"
"Chula Vista","California","United States",16645,307,"M","80000.00","2022-10-10","Mrs Chelsea Subram"
"Oak Bay","British Columbia","Canada",16646,59,"M","100000.00","2022-11-02","Mr Xavier Collins"
"Daly City","California","United States",16647,314,"M","120000.00","2022-09-18","Mrs Anna Alexander"
"Glendale","California","United States",16648,325,"M","130000.00","2022-12-10","Mrs Rachel Coleman"
"Metchosin","British Columbia","Canada",16649,53,"M","110000.00","2022-10-02","Mrs Makayla Stewart"
"Oregon City","Oregon","United States",16650,546,"M","120000.00","2022-11-06","Mrs Kaitlyn Green"
"Issaquah","Washington","United States",16651,618,"M","120000.00","2022-11-23","Mrs Abigail Martinez"
"La Jolla","California","United States",16652,331,"M","60000.00","2022-07-24","Mrs Nicole Richardson"
"Issaquah","Washington","United States",16653,618,"M","70000.00","2022-10-09","Mrs Isabella Phillips"
"Cliffside","British Columbia","Canada",16654,49,"M","70000.00","2022-03-01","Mrs Heather Zhang"
"Lakewood","California","United States",16655,334,"M","60000.00","2022-09-13","Mrs Destiny Taylor"
"Milsons Point","New South Wales","Australia",16665,9,"S","130000.00","2022-09-19","Ms Linda Suarez"
"Newton","British Columbia","Canada",16666,57,"S","80000.00","2022-02-07","Ms Taylor Torres"
"Vancouver","British Columbia","Canada",16667,68,"S","30000.00","2022-06-19","Ms Allison Sanchez"
"Chicago","Illinois","United States",16668,432,"S","30000.00","2022-04-21","Mr Levi Malhotra"
"Kirkland","Washington","United States",16669,623,"S","60000.00","2022-11-02","Mr Benjamin Martinez"
"Spokane","Washington","United States",16670,641,"S","60000.00","2022-05-23","Ms Sarah White"
"W. Linn","Oregon","United States",16671,552,"S","60000.00","2022-12-13","Ms Megan Wood"
"Walla Walla","Washington","United States",16672,644,"S","60000.00","2022-06-18","Ms Nicole Martinez"
"Beverly Hills","California","United States",16673,300,"S","60000.00","2022-06-29","Mr Curtis Guo"
"Cranbourne","Victoria","Australia",16674,33,"M","130000.00","2022-04-26","Mr Ricardo Yuan"
"Grossmont","California","United States",16676,326,"M","130000.00","2022-09-19","Mrs Amanda Perry"
"Los Angeles","California","United States",16677,338,"M","130000.00","2022-07-31","Mr Jack Hughes"
"Langley","British Columbia","Canada",16678,52,"M","70000.00","2022-03-07","Mr Ian Ramirez"
"Melbourne","Victoria","Australia",16679,35,"S","70000.00","2022-02-11","Ms Amber Carter"
"Coffs Harbour","New South Wales","Australia",16680,2,"M","70000.00","2022-08-09","Mr Carlos Edwards"
"Bendigo","Victoria","Australia",16681,32,"S","80000.00","2022-06-29","Mr Louis Chande"
"Milsons Point","New South Wales","Australia",16682,9,"M","90000.00","2022-06-18","Mrs Kristy Ramos"
"Rockhampton","Queensland","Australia",16683,26,"M","90000.00","2022-05-29","Mrs Christy Rai"
"Coffs Harbour","New South Wales","Australia",16689,2,"M","60000.00","2022-08-18","Mr Rafael Shen"
"North Ryde","New South Wales","Australia",16690,11,"M","110000.00","2022-09-12","Mrs Aimee Wu"
"Coffs Harbour","New South Wales","Australia",16692,2,"M","60000.00","2022-04-10","Mr Jay Diaz"
"St. Leonards","New South Wales","Australia",16694,17,"M","60000.00","2022-02-21","Mrs Mandy Sun"
"Wollongong","New South Wales","Australia",16695,19,"M","90000.00","2022-09-03","Mr Dwayne Serrano"
"Townsville","Queensland","Australia",16697,27,"S","80000.00","2022-02-25","Mr Wyatt Henderson"
"East Brisbane","Queensland","Australia",16698,22,"S","70000.00","2022-05-17","Ms Mallory Gill"
"Geelong","Victoria","Australia",16699,34,"M","100000.00","2022-05-09","Mr Dominic Kapoor"
"Hobart","Tasmania","Australia",16700,31,"S","70000.00","2022-06-18","Mr Billy Gill"
"Lane Cove","New South Wales","Australia",16704,5,"M","70000.00","2022-06-25","Mrs Karla Chavez"
"Coffs Harbour","New South Wales","Australia",16705,2,"M","80000.00","2022-08-10","Mrs Jacqueline Wood"
"Darlinghurst","New South Wales","Australia",16706,3,"M","80000.00","2022-09-22","Mrs Jenny Shan"
"Hawthorne","Queensland","Australia",16709,24,"M","30000.00","2022-07-21","Mr Roy Alvarez"
"Milsons Point","New South Wales","Australia",16710,9,"M","70000.00","2022-07-03","Mrs Carla Arthur"
"North Sydney","New South Wales","Australia",16711,12,"M","70000.00","2022-03-07","Mr Jorge Zhao"
"National City","California","United States",16714,343,"M","30000.00","2022-08-04","Mr Dalton Nicholls"
"Mill Valley","California","United States",16715,339,"M","30000.00","2022-08-24","Mrs Katelyn Ramirez"
"Puyallup","Washington","United States",16716,633,"S","30000.00","2022-04-08","Mr Jose Henderson"
"Langford","British Columbia","Canada",16717,51,"M","40000.00","2022-04-11","Mrs Masaki Umeda"
"Downey","California","United States",16718,315,"S","40000.00","2022-11-18","Mr Gavin Stone"
"Burlingame","California","United States",16719,302,"S","40000.00","2022-10-19","Mr Trevor Russell"
"Burbank","California","United States",16720,301,"S","30000.00","2022-07-01","Ms Morgan Perry"
"Langley","British Columbia","Canada",16721,52,"M","30000.00","2022-04-08","Mr Xavier Sanders"
"Puyallup","Washington","United States",16722,633,"S","30000.00","2022-11-28","Mr Sean Gray"
"Burlingame","California","United States",16723,302,"M","30000.00","2023-01-21","Mrs Barbara Zhao"
"Newport Beach","California","United States",16724,345,"S","30000.00","2022-11-02","Mr Gabriel Yang"
"Issaquah","Washington","United States",16725,618,"M","30000.00","2022-12-09","Mr Jacob Williams"
"El Cajon","California","United States",16726,316,"M","30000.00","2022-12-26","Mr Miguel Wood"
"Lynnwood","Washington","United States",16727,626,"S","40000.00","2022-05-31","Mr Charles Johnston"
"Milwaukie","Oregon","United States",16728,545,"M","40000.00","2022-06-09","Mr Cole Morris"
"Hobart","Tasmania","Australia",16729,31,"M","30000.00","2022-08-16","Mr Tommy Nara"
"Rockhampton","Queensland","Australia",16730,26,"M","30000.00","2022-12-02","Mrs Mariah Long"
"Newton","British Columbia","Canada",16731,55,"S","30000.00","2022-03-03","Ms Nicole White"
"Port Orchard","Washington","United States",16732,632,"S","40000.00","2022-07-19","Ms Natalie Flores"
"Springwood","New South Wales","Australia",16733,16,"M","40000.00","2022-08-04","Mr Douglas Srini"
"Sydney","New South Wales","Australia",16734,18,"S","40000.00","2022-04-29","Ms Emma Martinez"
"Lynnwood","Washington","United States",16735,626,"S","40000.00","2022-08-21","Ms Melissa Hayes"
"Port Orchard","Washington","United States",16736,632,"S","40000.00","2022-06-15","Ms Kelly Alexander"
"Burien","Washington","United States",16737,612,"S","40000.00","2022-09-17","Ms Steven Selikoff"
"Hawthorne","Queensland","Australia",16738,24,"M","30000.00","2022-03-13","Mr Ramon Lu"
"Silverwater","New South Wales","Australia",16739,15,"M","40000.00","2022-03-07","Mr Cory Weber"
"Lake Oswego","Oregon","United States",16746,542,"S","40000.00","2022-02-28","Ms Brianna Peterson"
"Salem","Oregon","United States",16747,548,"S","40000.00","2022-06-30","Mr Alexander Davis"
"Coronado","California","United States",16748,312,"S","40000.00","2022-12-08","Mr Patrick Peterson"
"Santa Monica","California","United States",16749,369,"S","30000.00","2022-12-05","Mr Aaron Coleman"
"Torrance","California","United States",16750,374,"M","30000.00","2022-03-21","Mr Seth Sanders"
"Sedro Woolley","Washington","United States",16751,638,"M","60000.00","2022-07-20","Mr Aaron Scott"
"Torrance","California","United States",16752,374,"S","60000.00","2022-08-17","Mr Mason Wright"
"Lake Oswego","Oregon","United States",16753,542,"S","70000.00","2022-10-19","Ms Rachel Harris"
"N. Vancouver","British Columbia","Canada",16754,54,"S","80000.00","2022-03-17","Mr Alex Bell"
"Redmond","Washington","United States",16755,634,"M","80000.00","2022-10-19","Mrs Olivia James"
"Spokane","Washington","United States",16756,641,"M","80000.00","2022-10-16","Mr Richard Allen"
"Portland","Oregon","United States",16757,547,"M","110000.00","2022-12-31","Mrs Mackenzie Cox"
"Victoria","British Columbia","Canada",16758,69,"M","110000.00","2022-06-04","Mr Justin Perry"
"San Francisco","California","United States",16759,360,"M","110000.00","2022-10-23","Mrs Jasmine Bell"
"Santa Monica","California","United States",16760,369,"S","60000.00","2022-03-10","Ms Sydney Alexander"
"Everett","Washington","United States",16761,616,"S","40000.00","2022-09-21","Mr Angel Ward"
"Burien","Washington","United States",16762,612,"M","50000.00","2022-09-22","Mr Franklin Ferrier"
"Cliffside","British Columbia","Canada",16763,49,"M","50000.00","2022-04-11","Mr Juan Suarez"
"Newton","British Columbia","Canada",16764,55,"M","50000.00","2022-05-21","Mr Thomas Davis"
"Yakima","Washington","United States",16765,648,"M","50000.00","2022-07-28","Mr Dalton White"
"Beverly Hills","California","United States",16766,300,"S","50000.00","2022-11-04","Ms Summer Arun"
"Burbank","California","United States",16767,301,"M","50000.00","2022-03-14","Mr Rafael Liu"
"Concord","California","United States",16768,311,"M","50000.00","2023-01-20","Mr Eduardo Barnes"
"Downey","California","United States",16769,315,"M","60000.00","2022-10-17","Mr Tyler Walker"
"Lakewood","California","United States",16770,334,"M","60000.00","2022-09-07","Mr Charles Rogers"
"Cliffside","British Columbia","Canada",16771,49,"M","50000.00","2022-02-23","Mr Ian Walker"
"Oak Bay","British Columbia","Canada",16772,59,"M","50000.00","2022-03-15","Mrs Morgan Parker"
"Woodburn","Oregon","United States",16773,553,"M","60000.00","2022-07-08","Mr David Lal"
"Yakima","Washington","United States",16774,648,"S","60000.00","2022-06-15","Mr Eduardo Perry"
"Colma","California","United States",16775,310,"M","60000.00","2022-09-19","Mrs Sarah Russell"
"Bellingham","Washington","United States",16776,609,"M","50000.00","2022-09-28","Mr Dalton Lewis"
"Milwaukie","Oregon","United States",16777,545,"M","70000.00","2022-02-24","Mr Cameron Simmons"
"Burbank","California","United States",16778,301,"S","60000.00","2022-10-27","Mr Blake Hayes"
"Puyallup","Washington","United States",16780,633,"M","70000.00","2022-09-05","Mr Carlos Bailey"
"El Cajon","California","United States",16781,316,"M","70000.00","2022-01-29","Mr Dylan Chen"
"Port Orchard","Washington","United States",16782,632,"M","60000.00","2022-10-08","Mr Lucas Clark"
"Tacoma","Washington","United States",16783,642,"M","60000.00","2022-11-22","Mrs Grace Barnes"
"Haney","British Columbia","Canada",16784,50,"M","60000.00","2022-05-02","Mrs Chloe Long"
"Tacoma","Washington","United States",16785,642,"M","70000.00","2022-09-30","Mr Christian Lee"
"Los Angeles","California","United States",16786,338,"M","70000.00","2022-10-26","Mr Lucas Reed"
"Bellflower","California","United States",16787,298,"S","70000.00","2022-11-25","Ms Nicole Jackson"
"Burlingame","California","United States",16788,302,"M","60000.00","2022-04-15","Mr Ronnie Gao"
"Seattle","Washington","United States",16789,637,"M","60000.00","2022-12-19","Mrs Jennifer Harris"
"Portland","Oregon","United States",16790,547,"M","60000.00","2022-12-25","Mr Hunter Lopez"
"Cliffside","British Columbia","Canada",16791,49,"S","60000.00","2022-05-23","Mr Leonard Yuan"
"Long Beach","California","United States",16792,337,"M","60000.00","2022-01-17","Mrs Maria Torres"
"Santa Cruz","California","United States",16793,368,"S","60000.00","2022-01-07","Ms Savannah Hernandez"
"Redmond","Washington","United States",16794,634,"M","60000.00","2022-01-15","Mrs Taylor Cook"
"Berkeley","California","United States",16795,299,"M","70000.00","2022-11-24","Mrs Regina Garcia"
"Sedro Woolley","Washington","United States",16796,638,"S","60000.00","2022-05-17","Ms Kaitlyn Martin"
"Walla Walla","Washington","United States",16797,644,"M","60000.00","2022-01-08","Mr Evan Reed"
"Coronado","California","United States",16798,312,"M","60000.00","2022-01-16","Mrs Latasha Martin"
"Fremont","California","United States",16799,322,"M","60000.00","2022-01-23","Mrs Stephanie Gonzales"
"Langley","British Columbia","Canada",16800,52,"M","40000.00","2022-06-17","Mrs Jordan Roberts"
"Bellingham","Washington","United States",16801,609,"S","60000.00","2022-09-10","Ms Jasmine Henderson"
"Lynnwood","Washington","United States",16802,626,"S","60000.00","2022-02-17","Mr Lucas Allen"
"Puyallup","Washington","United States",16803,633,"M","60000.00","2022-01-14","Mr Marcus Peterson"
"W. Linn","Oregon","United States",16804,552,"M","60000.00","2022-01-15","Mr Adam Zhang"
"W. Linn","Oregon","United States",16805,552,"S","60000.00","2022-01-15","Mr Fernando Allen"
"Burlingame","California","United States",16806,302,"M","60000.00","2022-12-07","Mr Louis Zhao"
"Chula Vista","California","United States",16807,307,"M","60000.00","2022-01-14","Mrs Virginia Suri"
"Lincoln Acres","California","United States",16808,336,"M","70000.00","2022-09-16","Mrs Jessica Long"
"Redwood City","California","United States",16809,355,"S","70000.00","2022-10-16","Ms Bailey Sanders"
"Oak Bay","British Columbia","Canada",16810,59,"M","70000.00","2022-08-09","Mr Michael Rodriguez"
"Tacoma","Washington","United States",16811,642,"M","60000.00","2022-02-27","Mr Luis Zhang"
"Imperial Beach","California","United States",16812,329,"M","60000.00","2022-02-16","Mrs Alexa Richardson"
"Lakewood","California","United States",16813,334,"M","60000.00","2022-11-24","Mr Carson Diaz"
"National City","California","United States",16814,343,"S","70000.00","2022-02-03","Ms Isabella Collins"
"Novato","California","United States",16815,347,"M","70000.00","2023-01-10","Mr Jacob Brown"
"Redwood City","California","United States",16816,355,"M","70000.00","2023-01-04","Mrs Julia Miller"
"San Diego","California","United States",16817,359,"M","70000.00","2022-10-13","Mr Evan Peterson"
"Spring Valley","California","United States",16818,372,"M","70000.00","2022-10-07","Mrs Gabrielle Reed"
"Issaquah","Washington","United States",16819,618,"M","70000.00","2022-10-13","Mr Dalton Cox"
"Port Hammond","British Columbia","Canada",16820,60,"M","70000.00","2022-08-21","Mrs Isabella Gray"
"Solingen","Nordrhein-Westfalen","Germany",16821,161,"M","130000.00","2021-07-03","Mrs Mary Carter"
"Peterborough","England","United Kingdom",16822,265,"M","150000.00","2021-05-10","Mr Marshall Lin"
"Liverpool","England","United Kingdom",16823,268,"M","160000.00","2021-05-09","Mrs Stacy Ruiz"
"Berlin","Hessen","Germany",16824,123,"M","120000.00","2021-07-21","Mr Randall Munoz"
"Bottrop","Nordrhein-Westfalen","Germany",16825,155,"M","120000.00","2022-11-17","Mrs Susan Zeng"
"Puyallup","Washington","United States",16914,633,"M","100000.00","2022-11-28","Mrs Alexandra Campbell"
"Solingen","Nordrhein-Westfalen","Germany",16826,161,"M","130000.00","2021-08-24","Mr Roberto Vazquez"
"Wokingham","England","United Kingdom",16827,275,"M","170000.00","2021-05-14","Mr Jeffery Chen"
"Oxford","England","United Kingdom",16828,262,"M","160000.00","2021-05-15","Mr Logan Mitchell"
"Runcorn","England","United Kingdom",16829,267,"M","160000.00","2021-05-07","Mr Wayne Lal"
"Solingen","Nordrhein-Westfalen","Germany",16830,161,"M","130000.00","2021-08-01","Mrs Alexandra Hall"
"Gloucestershire","England","United Kingdom",16831,239,"M","130000.00","2021-05-24","Mr Theodore Vazquez"
"Renton","Washington","United States",16832,635,"S","70000.00","2022-10-22","Mr Isaiah Parker"
"Glendale","California","United States",16833,325,"M","90000.00","2022-10-28","Mr Richard Cooper"
"Haney","British Columbia","Canada",16834,50,"S","50000.00","2022-05-26","Ms Morgan Peterson"
"Burien","Washington","United States",16835,612,"M","70000.00","2022-10-12","Mr Noah Nelson"
"Cliffside","British Columbia","Canada",16836,49,"M","90000.00","2022-08-16","Mr David Thomas"
"Langford","British Columbia","Canada",16837,51,"M","90000.00","2022-08-04","Mrs Elizabeth Jackson"
"Chula Vista","California","United States",16838,307,"S","110000.00","2022-09-30","Mr Jonathan Griffin"
"West Covina","California","United States",16839,383,"M","170000.00","2022-10-10","Mrs Julia Ross"
"Cliffside","British Columbia","Canada",16840,49,"M","80000.00","2022-05-24","Mr Xavier Torres"
"Westminster","British Columbia","Canada",16841,71,"M","80000.00","2022-02-25","Mr James Turner"
"Burbank","California","United States",16842,301,"M","110000.00","2022-10-25","Mrs Jenny Yang"
"Concord","California","United States",16843,311,"S","130000.00","2022-10-27","Mr Jimmy Ramos"
"Torrance","California","United States",16844,374,"M","160000.00","2022-10-22","Mrs Emma Robinson"
"West Covina","California","United States",16845,383,"S","170000.00","2022-10-05","Ms Andrea Adams"
"Langley","British Columbia","Canada",16846,52,"S","80000.00","2022-02-21","Mr James Phillips"
"Newton","British Columbia","Canada",16847,57,"M","80000.00","2022-06-14","Mr Eduardo Hall"
"Newton","British Columbia","Canada",16848,55,"S","80000.00","2022-01-31","Ms Jessica Thomas"
"Victoria","British Columbia","Canada",16849,69,"M","80000.00","2022-12-04","Mr Jonathan Collins"
"Spokane","Washington","United States",16850,641,"S","90000.00","2022-10-04","Ms Jessica Jenkins"
"Bellflower","California","United States",16851,298,"S","100000.00","2022-10-23","Mr Kevin Hayes"
"Burlingame","California","United States",16852,302,"S","110000.00","2022-10-15","Ms Kate She"
"Colma","California","United States",16853,310,"S","110000.00","2022-12-20","Ms Christina Bailey"
"Woodland Hills","California","United States",16854,385,"M","170000.00","2022-10-04","Mr Seth Adams"
"Cliffside","British Columbia","Canada",16855,49,"M","80000.00","2022-10-16","Mrs Evelyn Srini"
"Bremerton","Washington","United States",16856,611,"M","90000.00","2022-08-28","Mrs Erin Rivera"
"Burien","Washington","United States",16857,612,"M","90000.00","2022-05-04","Mr Lawrence Munoz"
"Everett","Washington","United States",16858,616,"M","100000.00","2022-12-07","Mrs Jan Lopez"
"Puyallup","Washington","United States",16859,633,"S","100000.00","2022-10-17","Mr Jack Kumar"
"Beverly Hills","California","United States",16860,300,"M","110000.00","2022-03-12","Mrs Haley Rogers"
"Lakewood","California","United States",16861,334,"S","130000.00","2023-01-13","Mr Luis Sharma"
"National City","California","United States",16862,343,"M","130000.00","2023-01-13","Mr Timothy Nelson"
"Beaverton","Oregon","United States",16863,536,"M","80000.00","2022-03-05","Mrs Kaitlyn Clark"
"Yakima","Washington","United States",16864,648,"S","100000.00","2022-10-26","Ms Grace Ramirez"
"Coronado","California","United States",16865,312,"M","120000.00","2022-10-22","Mrs Jordyn Diaz"
"Grossmont","California","United States",16866,326,"M","130000.00","2022-10-13","Mrs Alexandra Parker"
"Redwood City","California","United States",16867,355,"S","130000.00","2022-10-04","Ms Katelyn King"
"Spring Valley","California","United States",16868,372,"M","160000.00","2022-10-16","Mr Xavier Jackson"
"Torrance","California","United States",16869,374,"M","170000.00","2022-10-04","Mrs Vanessa Patterson"
"Langley","British Columbia","Canada",16870,52,"M","60000.00","2022-02-03","Mrs Andrea Morgan"
"Santa Monica","California","United States",16871,369,"M","90000.00","2022-10-07","Mrs Anna Clark"
"Redwood City","California","United States",16872,355,"M","80000.00","2022-10-16","Mr Samuel Taylor"
"Calgary","Alberta","Canada",16873,41,"M","30000.00","2022-07-23","Mr Damien Deng"
"Concord","California","United States",16874,311,"S","90000.00","2022-05-16","Ms Leslie Munoz"
"Coronado","California","United States",16875,312,"M","90000.00","2022-06-24","Mrs Samantha Diaz"
"Langford","British Columbia","Canada",16876,51,"M","40000.00","2022-04-24","Mr Jackson Sharma"
"Ballard","Washington","United States",16877,607,"S","50000.00","2022-02-15","Ms Katelyn Adams"
"Corvallis","Oregon","United States",16878,539,"S","50000.00","2022-02-23","Mr Devin Young"
"Milwaukie","Oregon","United States",16879,545,"S","50000.00","2022-02-26","Ms Morgan Taylor"
"Chula Vista","California","United States",16880,307,"M","70000.00","2022-10-24","Mr Edgar Patel"
"Colma","California","United States",16881,310,"M","70000.00","2022-10-28","Mr Ruben Alonso"
"Milwaukie","Oregon","United States",16882,545,"S","100000.00","2022-10-25","Mr Robert Young"
"Lakewood","California","United States",16883,334,"S","120000.00","2023-01-05","Mr Tyler Davis"
"Yakima","Washington","United States",16884,648,"M","60000.00","2022-04-06","Mr Richard Miller"
"Salem","Oregon","United States",16885,548,"M","60000.00","2022-03-16","Mr Garrett Cook"
"Portland","Oregon","United States",16886,547,"M","60000.00","2022-02-04","Mr Aidan Flores"
"Lemon Grove","California","United States",16887,335,"M","60000.00","2022-02-20","Mr Cody Rivera"
"El Cajon","California","United States",16888,316,"S","60000.00","2022-02-08","Ms Arianna Hughes"
"Torrance","California","United States",16889,374,"S","60000.00","2022-03-10","Mr Daniel Rodriguez"
"Puyallup","Washington","United States",16890,633,"M","60000.00","2022-03-14","Mr Timothy Reed"
"National City","California","United States",16891,343,"M","70000.00","2022-11-27","Mrs Natalie Gonzales"
"Bellflower","California","United States",16892,298,"M","70000.00","2022-10-25","Mrs Rebecca Evans"
"Walla Walla","Washington","United States",16893,644,"S","70000.00","2022-10-17","Mr Isaac Howard"
"Salem","Oregon","United States",16894,548,"S","60000.00","2022-03-07","Ms Abigail Walker"
"Lemon Grove","California","United States",16895,335,"M","40000.00","2022-03-19","Mrs Chloe Gonzales"
"El Cajon","California","United States",16896,316,"M","40000.00","2022-03-16","Mrs Natalie Perez"
"Los Angeles","California","United States",16897,338,"S","40000.00","2022-03-01","Ms Lauren Torres"
"West Covina","California","United States",16898,383,"M","40000.00","2022-03-26","Mr Angel Reed"
"Burien","Washington","United States",16899,612,"M","110000.00","2022-06-16","Mrs Whitney Sanchez"
"San Diego","California","United States",16900,359,"M","120000.00","2022-08-17","Mr Miguel Jones"
"Concord","California","United States",16901,311,"M","130000.00","2022-09-25","Mr Ricky Munoz"
"Burnaby","British Columbia","Canada",16902,43,"S","90000.00","2022-05-23","Mr Shawn She"
"Santa Cruz","California","United States",16903,368,"S","110000.00","2022-11-12","Mr Ian Wright"
"Grossmont","California","United States",16904,326,"M","110000.00","2022-10-10","Mrs Arianna Bailey"
"Imperial Beach","California","United States",16905,329,"M","130000.00","2022-08-03","Mrs Janet Stewart"
"Oak Bay","British Columbia","Canada",16906,59,"M","170000.00","2022-08-10","Mrs Brittany Flores"
"National City","California","United States",16907,343,"S","80000.00","2022-10-25","Ms Sarah Hall"
"Burien","Washington","United States",16908,612,"S","80000.00","2022-10-06","Ms Kristi Patel"
"Long Beach","California","United States",16909,337,"M","90000.00","2022-10-27","Mrs Chloe Walker"
"Cliffside","British Columbia","Canada",16910,49,"M","120000.00","2022-02-13","Mr Ryan Diaz"
"Everett","Washington","United States",16911,616,"M","90000.00","2022-09-11","Mr Caleb Patterson"
"Olympia","Washington","United States",16912,631,"M","90000.00","2022-11-26","Mr Dalton Patterson"
"Salem","Oregon","United States",16913,548,"S","100000.00","2022-08-23","Mr Marcus Flores"
